sample_id,path,candidate_path,title,institution,language,format,subtype,source_class,source_url,resource_manifest,quality_tier,recommended_runner,notes
html_func_gsam_investment_backdrop_2026,evals/strategy_report/html_functional_samples/html_func_gsam_investment_backdrop_2026/index.html,evals/strategy_report/html_functional_samples/html_func_gsam_investment_backdrop_2026/index.html,Investment Backdrop Heading into 2026 - Goldman Sachs Asset Management,Goldman Sachs Asset Management,en,html,macro_market_outlook,official_localized_functional,https://am.gs.com/en-us/institutions/insights/article/investment-outlook/investment-backdrop-2026,evals/strategy_report/html_functional_samples/html_func_gsam_investment_backdrop_2026/resource_manifest.json,functional,evals/strategy_report/run_html_batch.py,user-reviewed usable sample from target10 item 3
html_func_gsam_portfolio_construction_2026,evals/strategy_report/html_functional_samples/html_func_gsam_portfolio_construction_2026/index.html,evals/strategy_report/html_functional_samples/html_func_gsam_portfolio_construction_2026/index.html,Shifting Paradigms for Portfolio Construction in 2026 - Goldman Sachs Asset Management,Goldman Sachs Asset Management,en,html,portfolio_construction,official_localized_functional,https://am.gs.com/en-us/institutions/insights/article/investment-outlook/portfolio-construction-2026,evals/strategy_report/html_functional_samples/html_func_gsam_portfolio_construction_2026/resource_manifest.json,functional,evals/strategy_report/run_html_batch.py,user-reviewed usable sample from target10 item 4
html_func_ssga_global_market_outlook_2026,evals/strategy_report/html_functional_samples/html_func_ssga_global_market_outlook_2026/index.html,evals/strategy_report/html_functional_samples/html_func_ssga_global_market_outlook_2026/index.html,Forward with focus | State Street,State Street Global Advisors / State Street Investment Management,en,html,global_market_outlook,official_localized_functional,https://www.ssga.com/us/en/institutional/insights/global-market-outlook,evals/strategy_report/html_functional_samples/html_func_ssga_global_market_outlook_2026/resource_manifest.json,functional,evals/strategy_report/run_html_batch.py,user-reviewed marginally usable sample from target10 item 9
html_func_vanguard_economic_market_outlook_2026,evals/strategy_report/html_functional_samples/html_func_vanguard_economic_market_outlook_2026/index.html,evals/strategy_report/html_functional_samples/html_func_vanguard_economic_market_outlook_2026/index.html,Vanguard’s 2026 economic and market outlook,Vanguard,en,html,economic_market_outlook,official_localized_functional,https://advisors.vanguard.com/insights/article/2026-economic-and-market-outlook,evals/strategy_report/html_functional_samples/html_func_vanguard_economic_market_outlook_2026/resource_manifest.json,functional,evals/strategy_report/run_html_batch.py,user-reviewed marginally usable sample from target10 item 10
